Company,Product categories,Company description,Page_URL
SSP Eyewear,SHOT -  Clay TargetsSHOT -  Custom ManufacturingSHOT -  EyewearSHOT -  Law Enforcement Products/ServicesSHOT -  Shooting Range EquipmentSHOT -  Training and Safety Equipment,"We aspire to empower your vision for your life. To disconnect and reconnect to life as it happens, encouraging experiences and exploring this nation’s outdoor spaces. We aim to protect and enhance your vision, bringing your shooting, and your life, to the next level. For almost 2 decades, we have been making lenses that not only enhance vision but protect your eyes too. The inspiration for our business came from Don Bechtel, grandfather of SSP eyewear’s president and founder, Mike Bechtel, who lost an eye as a child. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1339
Staccato,SHOT -  Firearm Grips/Stocks,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1340
Stack Metallurgical Services,Supplier -  Services,"A LEADING PROVIDER OF METAL PROCESSING SERVICES We specialize in a comprehensive range of metal processing services including heat treating, hot isostatic pressing, and aluminum anodizing for a range of industries throughout N. America. While we’re committed to continuous improvement and adapting to needs of our customers, at our core we’re dedicated to a higher standard which our customers have come to depend on. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2458
Stag Arms,SHOT -  FirearmsSHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Custom Manufacturing,"Stag Arms has specialized in the development of left-handed AR15 rifles since it was founded in 2003. The company aims to provide all shooters with a superior-quality rifle at competitive price points, while driving home lifetime value with the Lifetime Transferable Warranty and Infinite Shot Barrel Guarantee. The first to market and champion the left-handed modern sporting rifle, the Stag Arms team is constantly pushing the boundaries of product development for both right- and left-handed consumers. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1341
Star CNC Machine Tool Corp.,Supplier -  LogisticsSupplier -  Plastics,"Star CNC Machine Tool Corp. is among the leading providers of superior technology and service to the machine tool industry. Founded in 1948, Star CNC is a division of Star Micronics Co., Ltd. of Japan, one of the world’s most respected manufacturers of Swiss-type turning machines for the production of small, complex and precise metal components. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2156
Star Cutter Company,Supplier -  Stamping,"Star Cutter Company specializes in the design and manufacture of solid carbide cutting tools, carbide blanks/preforms, gundrills, gear cutting tools, and 5-axis CNC tool and cutter grinding machines. Star offers a line of firearm industry products; including high-performance / high-speed gundrills, push/pull reamers, rifle buttons for the barrel making process, solid carbide and deep hole twist drills, SRT reamers, small diameter step drills, drill/chamfer tools, and PCD tooling for aluminum applications. Products are sold domestically through Star SU, LLC. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2157
Star World International,"Supplier - Fabrics
Supplier - Fabrication
Supplier",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2332
Starline Brass,SHOT -  AmmunitionSHOT -  Pet Supplies/Training Equipment,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1347
Stars and Stripes,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2613
State of Montana,SHOT -  AmmunitionSHOT -  FirearmsSHOT -  Fishing Equipment/TackleSHOT -  OutfittersSHOT -  FootwearSHOT -  Hunting Gear/Accessories,Montana is where ideas grow into opportunities. Our spectacular unspoiled nature and unparalleled access to public lands make for a one-of-a-kind backdrop to build and grow a business. We care about business and building a partnership for long-term collaboration and shared economic success. Entrepreneurs and business owners are the backbone of America and deserve a government that does business with business needs in mind. (less),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2956
State Of Oklahoma,Supplier,"Our job is to bring jobs, investment, and economic prosperity to the state of Oklahoma. Through dynamic partnerships and innovative collaborations with companies, universities, not-for-profit organizations, and government leaders, we are building a business environment that supports business growth and shared community prosperity. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1348
State of Wyoming,SHOT -  AmmunitionSHOT -  Firearm Grips/StocksSHOT -  Crossbows & AccessoriesSHOT -  Association/Agencies/Wildlife Mgmt.,"Why Wyoming? We offer a business-friendly tax climate, a pro-business attitude and wide open spaces full of adventure. With available workforce and industry incentives, isn’t it time to think Wyoming? Take a closer look and discover what the many thriving businesses and outdoor product manufacurers here already know. In Wyoming, you are free to run your business the way you built it — on your terms. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1615
Stateline Swiss Manufacturing,Supplier -  Machinery,"Stateline Swiss is a small arms component supplier to some of the better known names in the industry. We specialize in high quality components from pistol strikers, firing pins, takedown and pivot pins, sight components, gas plugs, trigger components, ejectors, flash suppressors, and many others. We have over 30 years of manufacturing expertise specializing in small precision machined parts from .020""-1.25"" diameter. From prototypes to production, our manufacturing capabilities and high quality can help you improve your throughput while working to reduce your production costs. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2160
Stealth Arms,SHOT -  Firearms,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3208
Stealth Operator,SHOT -  HolstersSHOT -  Law Enforcement Products/ServicesSHOT -  Survival Kits/First Aid,"Stealth Operator offers the original true multi-fit holster and industry-leading armor for military, personal, and first responder use. Our holsters require no adjustment to fit over 150+ handgun models. Our multi-hit NIJ certified armor is constructed to make our plates positively buoyant to help the wearer in emergency water situations. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1349
Stealth Vision,,"Stealth Vision's optics are inspired by Dr. John McCall's 40-plus years as an eye surgeon, 37 worldwide safaris and well over 100 domestic hunts. Stealth Vision® scopes incorporate patent-pending anti-cant green light technology, which helps eliminate variables that can affect precision long-range shooting. This technology, combined with Dr. McCall’s expertise in optometry, ensures accuracy and performance. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1350
Steambow Inc.,SHOT -  Crossbows & AccessoriesSHOT -  Archery,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1655
Steel Action Germany,SHOT -  Hunting Gear/Accessories,"Steel Action is a german hunting rifle manufacturer. The Steel Action straight pull bolt action rifle offers contemporary, modern technology manufactured from wood and steel (the only plastic part is the magazine follower). It's unique design offers maximum reliability, safety and comfort to the shooter and hunter. The rifle is available in several calibers from .22-250 up to .375 Ruger. It's well known and appreciated in Europe with over 10.000 produced rifles in the last few years. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3686
Steele Components and Ammo LLC,SHOT -  Lighting Products,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1352
Steele Industries,SHOT -  Law Enforcement Products/Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2943
Steiner Optics,SHOT -  Binoculars/TelescopesSHOT -  Hunting Gear/AccessoriesSHOT -  Scopes/Sights/Telescopes/Accessories,"Steiner has been a world leader in the manufacture of high-quality optics since 1947. In addition to the outdoor, hunting and marine markets, Steiner provides products to military and law enforcement worldwide. The new Steiner line of eOptics includes laser aiming devices, tactical flashlights, night vision equipment and combat identification systems. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1354
Sticky Holsters,SHOT -  FootwearSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  Firearm Barrels/Parts/GunsmithingSHOT -  Hearing Protection,"Sticky Holsters are concealed carry holsters for waistband or pocket carry with no clips or loops. The self-securing design is available in over 40 different sizes and has options for lights, lasers and now Optics Ready Pistols. The Sticky Holster can be mounted for ankle carry with the Anklebiter wrap system. The Sticky Travel Mount can be used in a vehicle center console or anywhere you choose to make off body carry easier for the customer. Check out our Belly Band and Guard-Her-Belt accessories along with our new Vanatic Hunting line. This year we are excited to announce or Sticky Range Bag (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1356
